smiles,identifier,P_TR,PS,rank
O=C(N[C@H]1CCN2C(=O)C3=CC=CC=C3NC(=O)[C@@H]2C1)C1=CC=CC=C1,CNP0149078.1,0.0033142727334052324,0.002833703187061473,2852
COC1=CC=C([C@H]2N3C[C@@]4(C(C)C)C[N@]2C[C@@](C(C)C)(C3)[C@H]4O)C=C1OC,CNP0131138.2,0.0033134128898382187,0.002832968020811677,2853
C1=CC(C2=CNC([C@@H]3COCCN3CC3CC3)=N2)=CC=N1,CNP0004801.1,0.003311317414045334,0.002831176389008761,2854
COC1=CC=C(NC(=O)C2=CC=CC=C2)C(C)=C1,CNP0378417.0,0.003307539504021406,0.0028279462759383035,2855
COC1=CC=C(C2=CC(C[C@@H]3C[C@H](NC(C)C)C3(C)C)=NO2)C=C1,CNP0515995.1,0.0033015937078744173,0.002822862620232627,2856
O=C1[C@@H](CC2=CC=CC=C2)N=C(O)[C@H]2CCCN12,CNP0559133.2,0.0032780359033495188,0.0028027206973638393,2857
CC(C)C1=CC=C(N2C(=O)N[C@@H]3CCN(C(=O)CC(C)(C)C)[C@H]3C2=O)C=C1,CNP0439601.1,0.0032731350511312485,0.0027985304687172187,2858
COC1=CC=C(CCNC(=O)C2=CC=CC3=C2SCCC3=O)C=C1OC,CNP0589619.0,0.003254795679822564,0.0027828503062482927,2859
CCS[C@@H]1CCN2C(=O)C3=CC(C4=CC=CC=C4)=CC=C3NC(=O)[C@H]12,CNP0024356.1,0.00325328903272748,0.0027815621229819944,2860
COC1=CC2=C(C=C1O)[C@@H](OC)O[C@@H]1CC=C3CCN(C)[C@H]3[C@H]21,CNP0148889.1,0.0032454682514071465,0.0027748753549531107,2861
CC(C)(C)OC(=O)N[C@@H](CC1=CC=CN=C1)C(=O)O,CNP0042154.1,0.003240143181756139,0.0027703224204014987,2862
CCN1C(=O)CC[C@H]1C1=NC(CNC(=O)NC2=CC=CC=C2)=NO1,CNP0531880.1,0.0032276101410388947,0.002759606670588255,2863
CC(C)NC(=O)OC[C@H]1C[C@@H]2CC[N@@]1C[C@@H]2C1=CC(C2=CC=CC=C2)=NN1C,CNP0010949.1,0.003226381726562977,0.002758556376211346,2864
CN1C[C@H](O)C[C@H]1C1=NC(CC2=CC=CC=C2)=NO1,CNP0477800.1,0.0032194177620112896,0.002752602186519653,2865
COC1=CC=C(C2=CC(C[C@@H]3C[C@H](NC(=O)C4CC4)C3(C)C)=NO2)C=C1,CNP0101857.1,0.0032168892212212086,0.002750440284144133,2866
COC1=CC=CC=C1NC(=O)CC1=CC=C(C)C=C1,CNP0529981.0,0.0032089606393128633,0.002743661346612497,2867
COC(=O)C1C(OC(=O)C2=CC=CC(O)=C2)CC2CCC1N2C,CNP0227387.0,0.0032067818101495504,0.002741798447677865,2868
COC1=CC=CC=C1NCN1C(=O)C2=CC=CC=C2C1=O,CNP0352815.0,0.0031951137352734804,0.0027318222436588263,2869
CNC(=O)[C@@H]1CC2=CC=CC=C2CN1C(=O)COC1=CNC(C)=CC1=O,CNP0304569.1,0.003193598473444581,0.002730526694795117,2870
COC1=CN(CC(=O)NCC2=CC=CC=C2)C(C)=CC1=O,CNP0401352.0,0.0031832552049309015,0.0027216832002159197,2871
CC(C)N1CC[C@@H]2[C@H]1C(=O)NC[C@H](CCC(=O)N1CCC3=CC=CC=C31)N2C,CNP0339201.1,0.0031810016371309757,0.0027197563997469845,2872
CCNC(=O)N[C@@H]1CO[C@@H]2[C@@H]1OC[C@H]2OCC1=CC=CC=C1,CNP0476422.1,0.0031659970991313457,0.0027069275197573,2873
C[C@@]1(O)CCN(CC2=CC=CN=C2)[C@@H](C2=CC=CC=C2)[C@@H]1NC(=O)C1CC1,CNP0204129.1,0.003161488799378276,0.002703072923468426,2874
COC1=CC([C@@H]2C(C(C)=O)=C(O)C(=O)N2CC2=CC=CN=C2)=CC=C1O,CNP0148063.1,0.0031558058690279722,0.0026982140180189158,2875
CN1C(=N)N(C)[C@@H](CC2=CNC3=CC=CC=C23)C1=O,CNP0213003.1,0.003150260541588068,0.002693472763057799,2876
